message,dispatch,response_time_minutes,priority,address,emergency_type
"hazard problem at home, come quick.",hazmat unit x1; firetruck x1,9,2,"4112 Oak Blvd, San Diego, CA",Hazard
"fire problem at beach, come quick.",firetruck x1; ladder truck x1,9,2,"9035 Maple Ave, San Diego, CA",Fire
rescue?? park. hurry,rescue unit x1,5,3,"1635 Oak Blvd, San Diego, CA",Rescue
"Emergency! Fire at my road. Need help ASAP, address included.",firetruck x1,7,1,"9295 Oak Blvd, San Diego, CA",Fire
sos hazard beach send help,hazmat unit x1; firetruck x1,11,3,"3711 Mission St, San Diego, CA",Hazard
rescue?? store. hurry,rescue unit x1,5,3,"7024 Sunset Dr, San Diego, CA",Rescue
"crime problem at office, come quick.",police unit x2,2,2,"1774 Maple Ave, San Diego, CA",Crime
???accidenthere,ambulance x1; police unit x1,4,2,"7627 Broadway, San Diego, CA",Accident
medical??  park.  hurry,ambulance x1; rescue unit x1,6,3,"6025 4th Ave, San Diego, CA",Medical
fire?? beach. hurry,firetruck x1,3,3,"3833 Cedar Ln, San Diego, CA",Fire
I need help immediately at the school. There's a serious medical situation.,ambulance x1,5,1,"6327 Cedar Ln, San Diego, CA",Medical
"Not sure what's going on, maybe accident? at beach. Need someone here.",ambulance x1; police unit x1,3,2,"6165 Sunset Dr, San Diego, CA",Accident
bad stuff at beach fire,firetruck x1; ladder truck x1,6,3,"1269 4th Ave, San Diego, CA",Fire
sos  hazard  offic3  s3nd  h3lp,hazmat unit x1,10,3,"7673 Ocean View Way, San Diego, CA",Hazard
sos crime beach send help,SWAT x1; police unit x2,9,3,"3698 Sunset Dr, San Diego, CA",Crime
natural disaster?? school. hurry,rescue unit x2; firetruck x1,9,3,"625 Sunset Dr, San Diego, CA",Natural Disaster
"accident problem at store, come quick.",ambulance x1; police unit x1,3,2,"9392 Sunset Dr, San Diego, CA",Accident
"Not sure what's going on, maybe fire? at beach. Need someone here.",firetruck x2,3,2,"7617 Pine Rd, San Diego, CA",Fire
"crime problem at office, come quick.",SWAT x1; police unit x2,6,2,"9297 Broadway, San Diego, CA",Crime
soscrimebeachsendhelp,police unit x2,6,3,"3693 Pine Rd, San Diego, CA",Crime
"rescue problem at park, come quick.",rescue unit x1,6,2,"1896 Pine Rd, San Diego, CA",Rescue
Uh oh. Something bad hazard happening at the office.,hazmat unit x1; firetruck x1,9,2,"9871 Maple Ave, San Diego, CA",Hazard
plzaccidentparkfast,ambulance x1; police unit x1,4,2,"1976 Broadway, San Diego, CA",Accident
sos natural disaster store send help,helicopter x1; rescue unit x2,8,3,"1927 Cedar Ln, San Diego, CA",Natural Disaster
"Not sure what's going on, maybe accident? at office. Need someone here.",ambulance x1; police unit x1,2,2,"4415 Broadway, San Diego, CA",Accident
Uh oh. Something bad natural disaster happening at the office.,rescue unit x2; firetruck x1,5,2,"4989 Broadway, San Diego, CA",Natural Disaster
rescue?? office. hurry,helicopter x1; rescue unit x1,7,3,"2746 Broadway, San Diego, CA",Rescue
I need help immediately at the road. There's a serious natural disaster situation.,helicopter x1; rescue unit x2,7,1,"8105 Elm St, San Diego, CA",Natural Disaster
bad stuff at store medical,ambulance x1,5,3,"1049 Oak Blvd, San Diego, CA",Medical
"rescue problem at home, come quick.",helicopter x1; rescue unit x1,7,2,"1233 Broadway, San Diego, CA",Rescue
natural disaster?? office. hurry,helicopter x1; rescue unit x2,5,3,"9107 Pine Rd, San Diego, CA",Natural Disaster
soscrim3roads3ndh3lp,SWAT x1; police unit x2,7,3,"3395 Cedar Ln, San Diego, CA",Crime
Uh oh. Something bad accident happening at the beach.,ambulance x2; firetruck x1,8,2,"7277 Broadway, San Diego, CA",Accident
"accident problem at home, come quick.",ambulance x1; police unit x1,8,2,"1149 Sunset Dr, San Diego, CA",Accident
