epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,109.267,1.42176,3.19718,1.41856,0.00354,1,0.25464,0.15512,1.02624,3.11022,1.11925,0.00026,0.00026,0.00026
2,217.606,1.09086,2.2947,1.15957,0.00347,0.98039,0.34632,0.1916,1.10751,3.21525,1.16772,0.00052218,0.00052218,0.00052218
3,330.193,1.10064,2.11492,1.15396,0.15151,0.43137,0.16423,0.07093,1.58884,3.56543,1.62312,0.00076588,0.00076588,0.00076588
4,434.372,1.19983,2.05939,1.22053,0.40742,0.21569,0.22387,0.1369,1.47425,3.20189,1.46837,0.0009911,0.0009911,0.0009911
5,537.814,1.12627,1.91857,1.18478,0.38739,0.39216,0.32742,0.19983,1.41598,2.79895,1.56776,0.00119784,0.00119784,0.00119784
6,657.892,1.18049,1.99666,1.25388,0.52768,0.29412,0.29728,0.17858,1.50066,2.92603,1.71001,0.0013861,0.0013861,0.0013861
7,775.486,1.2285,1.92642,1.27216,0.38016,0.43137,0.35277,0.20548,1.5529,3.63085,1.80754,0.00155588,0.00155588,0.00155588
8,892.66,1.20508,1.80085,1.22941,0.44708,0.47059,0.48891,0.30426,1.42151,6.09411,1.63406,0.001538,0.001538,0.001538
9,1007.77,1.16182,1.61151,1.2123,0.54745,0.54561,0.52542,0.3387,1.26107,4.79403,1.45109,0.001472,0.001472,0.001472
10,1125.77,1.09377,1.55999,1.17297,0.66371,0.46451,0.52542,0.31216,1.49191,2.54761,1.65957,0.001406,0.001406,0.001406
11,1244.26,1.09881,1.52594,1.1689,0.40506,0.57411,0.44952,0.26599,1.51807,2.87409,1.63811,0.00134,0.00134,0.00134
12,1362.35,1.0898,1.46188,1.16944,0.74475,0.41176,0.51576,0.33408,1.25244,2.74682,1.29434,0.001274,0.001274,0.001274
13,1479.57,1.1196,1.43712,1.18633,0.59797,0.54902,0.53954,0.38244,1.17088,1.79807,1.25423,0.001208,0.001208,0.001208
14,1601.73,1.07813,1.41502,1.17775,0.44241,0.42014,0.34582,0.24797,1.19604,2.12651,1.25793,0.001142,0.001142,0.001142
15,2025.41,1.03872,1.35028,1.14107,0.77883,0.5098,0.65097,0.42118,1.11422,1.77508,1.23083,0.001076,0.001076,0.001076
16,2287.94,0.96893,1.28553,1.12956,0.68838,0.7451,0.74112,0.46087,1.11689,1.4863,1.16091,0.00101,0.00101,0.00101
17,2680.11,1.00551,1.24163,1.11496,0.74545,0.60784,0.59967,0.43743,1.05453,1.70312,1.15582,0.000944,0.000944,0.000944
18,2781.27,0.94948,1.15317,1.09745,0.72525,0.6212,0.61879,0.46659,1.05433,1.60248,1.12809,0.000878,0.000878,0.000878
19,2884.27,0.90984,1.11386,1.07122,0.705,0.70588,0.69535,0.51957,0.95408,1.25671,1.13571,0.000812,0.000812,0.000812
20,2997.27,0.85962,1.04358,1.04836,0.7186,0.75116,0.75949,0.54302,0.94851,1.23995,1.15023,0.000746,0.000746,0.000746
21,3112.74,0.83554,1.13608,1.06111,0.7319,0.72549,0.6973,0.52822,0.97726,1.26757,1.12406,0.00068,0.00068,0.00068
22,3223.56,0.83892,0.99538,1.02462,0.82546,0.7451,0.7683,0.5917,0.86046,1.20725,1.03926,0.000614,0.000614,0.000614
23,3341.13,0.79693,0.89779,1.00716,0.70441,0.60784,0.63583,0.46353,0.90155,1.58214,1.0351,0.000548,0.000548,0.000548
24,3448.01,0.79494,0.89574,0.99976,0.78639,0.7451,0.75553,0.5288,0.97907,1.18263,1.10092,0.000482,0.000482,0.000482
25,3556.69,0.71688,0.82778,0.96082,0.82389,0.64221,0.71871,0.53531,0.91096,1.23507,1.11345,0.000416,0.000416,0.000416
26,3661.51,0.6922,0.75507,0.95421,0.7694,0.71973,0.75716,0.57575,0.88866,1.14394,1.1038,0.00035,0.00035,0.00035
27,3773.02,0.69018,0.76548,0.95943,0.74842,0.7584,0.77526,0.61716,0.8158,1.08129,1.0593,0.000284,0.000284,0.000284
28,3902.65,0.66313,0.71485,0.93453,0.72239,0.76471,0.75062,0.60327,0.75265,1.15123,1.00905,0.000218,0.000218,0.000218
29,4014.75,0.66024,0.70473,0.94251,0.77464,0.68627,0.74141,0.59281,0.75618,1.23672,1.00042,0.000152,0.000152,0.000152
30,4116.62,0.6461,0.70898,0.9357,0.80887,0.66667,0.7445,0.60097,0.73261,1.20493,0.97433,8.6e-05,8.6e-05,8.6e-05
